"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 11:39:22 GMT 2022","Fri Oct 14 11:39:26 GMT 2022","4078","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 11:39:59 GMT 2022","Fri Oct 14 11:40:03 GMT 2022","3224","","Main page test","","Main page test","Test footer displays all elements","Test footer displays all elements",""
"passed","Fri Oct 14 11:41:12 GMT 2022","Fri Oct 14 11:41:20 GMT 2022","7871","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 11:38:12 GMT 2022","Fri Oct 14 11:38:30 GMT 2022","17586","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 11:39:22 GMT 2022","Fri Oct 14 11:39:32 GMT 2022","10859","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 11:39:03 GMT 2022","Fri Oct 14 11:39:12 GMT 2022","9673","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 11:38:30 GMT 2022","Fri Oct 14 11:38:39 GMT 2022","9024","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Fri Oct 14 11:39:12 GMT 2022","Fri Oct 14 11:39:22 GMT 2022","9771","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 11:39:52 GMT 2022","Fri Oct 14 11:39:54 GMT 2022","2492","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Fri Oct 14 11:38:53 GMT 2022","Fri Oct 14 11:39:03 GMT 2022","9623","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Fri Oct 14 11:40:30 GMT 2022","Fri Oct 14 11:40:36 GMT 2022","6311","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 11:39:54 GMT 2022","Fri Oct 14 11:39:58 GMT 2022","4166","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 11:39:02 GMT 2022","Fri Oct 14 11:39:12 GMT 2022","9996","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Fri Oct 14 11:39:26 GMT 2022","Fri Oct 14 11:39:35 GMT 2022","9098","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Fri Oct 14 11:39:32 GMT 2022","Fri Oct 14 11:39:40 GMT 2022","7511","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 11:38:37 GMT 2022","Fri Oct 14 11:38:45 GMT 2022","7956","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Fri Oct 14 11:40:50 GMT 2022","Fri Oct 14 11:41:02 GMT 2022","11980","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 11:37:28 GMT 2022","Fri Oct 14 11:37:34 GMT 2022","5991","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 11:37:31 GMT 2022","Fri Oct 14 11:37:40 GMT 2022","9675","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 11:39:47 GMT 2022","Fri Oct 14 11:39:52 GMT 2022","4570","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"passed","Fri Oct 14 11:40:06 GMT 2022","Fri Oct 14 11:40:08 GMT 2022","2468","","Main page test","","Main page test","Test if unexisting page send 404 error","Test if unexisting page send 404 error",""
"passed","Fri Oct 14 11:41:09 GMT 2022","Fri Oct 14 11:41:18 GMT 2022","9063","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 11:38:54 GMT 2022","Fri Oct 14 11:39:02 GMT 2022","7374","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"failed","Fri Oct 14 11:40:27 GMT 2022","Fri Oct 14 11:40:50 GMT 2022","22348","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Fri Oct 14 11:40:08 GMT 2022","Fri Oct 14 11:40:13 GMT 2022","4653","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 11:40:03 GMT 2022","Fri Oct 14 11:40:06 GMT 2022","3414","","Main page test","","Main page test","Test if agregattor site still has the Telenyx title","Test if agregattor site still has the Telenyx title",""
"failed","Fri Oct 14 11:40:44 GMT 2022","Fri Oct 14 11:41:09 GMT 2022","24679","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Fri Oct 14 11:38:45 GMT 2022","Fri Oct 14 11:38:54 GMT 2022","9563","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
