"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 07:36:12 GMT 2022","Fri Oct 14 07:36:13 GMT 2022","1359","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 07:36:36 GMT 2022","Fri Oct 14 07:36:43 GMT 2022","6645","","Login page test","","Login page test","Test if resend option works correctly","Test if resend option works correctly",""
"passed","Fri Oct 14 07:35:50 GMT 2022","Fri Oct 14 07:36:09 GMT 2022","18648","","Login page test","","Login page test","Test login with valid credentials for blocked account","Test login with valid credentials for blocked account",""
"passed","Fri Oct 14 07:36:13 GMT 2022","Fri Oct 14 07:36:14 GMT 2022","1051","","Login page test","","Login page test","Test if all login options availble","Test if all login options availble",""
"passed","Fri Oct 14 07:35:05 GMT 2022","Fri Oct 14 07:35:17 GMT 2022","11732","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 07:36:21 GMT 2022","Fri Oct 14 07:36:22 GMT 2022","1193","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
"passed","Fri Oct 14 07:37:33 GMT 2022","Fri Oct 14 07:37:44 GMT 2022","10745","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Fri Oct 14 07:36:09 GMT 2022","Fri Oct 14 07:36:11 GMT 2022","1603","","Login page test","","Login page test","Test login with an invalid password","Test login with an invalid password",""
"passed","Fri Oct 14 07:37:04 GMT 2022","Fri Oct 14 07:37:09 GMT 2022","4569","","Main page test","","Main page test","Test if 404 page has a button to back to the site","Test if 404 page has a button to back to the site",""
"passed","Fri Oct 14 07:37:18 GMT 2022","Fri Oct 14 07:37:24 GMT 2022","6350","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 07:35:33 GMT 2022","Fri Oct 14 07:35:36 GMT 2022","2941","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Fri Oct 14 07:37:20 GMT 2022","Fri Oct 14 07:37:27 GMT 2022","6329","","Products page test","","Products page test","Test if all 30 products are displayed on the product page","Test if all 30 products are displayed on the product page",""
"passed","Fri Oct 14 07:37:44 GMT 2022","Fri Oct 14 07:37:48 GMT 2022","4724","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 07:35:17 GMT 2022","Fri Oct 14 07:35:29 GMT 2022","11375","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
"passed","Fri Oct 14 07:38:03 GMT 2022","Fri Oct 14 07:38:12 GMT 2022","9071","","Try free test","","Try free test","Test the “Try free” banner","Test the “Try free” banner",""
"passed","Fri Oct 14 07:35:36 GMT 2022","Fri Oct 14 07:35:38 GMT 2022","2549","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Fri Oct 14 07:36:18 GMT 2022","Fri Oct 14 07:36:26 GMT 2022","7348","","Login page test","","Login page test","Test forgot password feature with non-registered email","Test forgot password feature with non-registered email",""
"passed","Fri Oct 14 07:36:17 GMT 2022","Fri Oct 14 07:36:19 GMT 2022","2526","","Login page test","","Login page test","Test login option with comapny name with invalid company name","Test login option with comapny name with invalid company name",""
"passed","Fri Oct 14 07:36:14 GMT 2022","Fri Oct 14 07:36:17 GMT 2022","2660","","Login page test","","Login page test","Test Signe Sign-On option with invalid credential","Test Signe Sign-On option with invalid credential",""
"passed","Fri Oct 14 07:36:12 GMT 2022","Fri Oct 14 07:36:18 GMT 2022","6064","","Login page test","","Login page test","Test login with an invalid email","Test login with an invalid email",""
"passed","Fri Oct 14 07:37:47 GMT 2022","Fri Oct 14 07:37:51 GMT 2022","3711","","SignUp page test","","SignUp page test","Test sign Up with incorrect email","Test sign Up with incorrect email",""
"passed","Fri Oct 14 07:37:36 GMT 2022","Fri Oct 14 07:37:47 GMT 2022","11794","","SignUp page test","","SignUp page test","Test sign Up with valid credentials with captcha","Test sign Up with valid credentials with captcha",""
"passed","Fri Oct 14 07:35:04 GMT 2022","Fri Oct 14 07:35:17 GMT 2022","12991","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Fri Oct 14 07:36:43 GMT 2022","Fri Oct 14 07:36:44 GMT 2022","1234","","Login page test","","Login page test","Test if option to login with company name changes the input name","Test if option to login with company name changes the input name",""
